"maakunta" "1" "2" "3" "4" "5" "6" "7" "8" "9" "0" "A1" "A2" "A3" "A4" "A5" "A6" "A7" "A8" "A9" "A0" "B1" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "B0" "C1"
0 22.5947221532931 15.1560975609756 17.8767414353951 12.1824175824176 18.5758295704788 20.7366894800884 20.9848093578824 8.60588235294118 26.3 20.7366894800884 20.7366894800884 20.7366894800884 20.7366894800884 20.7366894800884 20.7366894800884 20.7366894800884 20.7366894800884 2.945 20.7366894800884 20.7366894800884 20.7366894800884 20.7366894800884 20.7366894800884 20.7366894800884 20.7366894800884 12.8 20.7366894800884 20.7366894800884 20.7366894800884 20.7366894800884 20.7366894800884
1 21.5990634634717 15.1900806614445 13.3454553004843 9.92535609847551 9.47488384950785 10.6 17.5131751367721 5.91818181818182 5.8125 19.8827797484709 19.8827797484709 19.8827797484709 19.8827797484709 19.8827797484709 19.8827797484709 19.8827797484709 19.8827797484709 4.38125 19.8827797484709 19.8827797484709 19.8827797484709 19.8827797484709 19.8827797484709 19.8827797484709 19.8827797484709 9.8 32.5 19.8827797484709 19.8827797484709 19.8827797484709 19.8827797484709
2 18.2300452329521 16.7879011445211 18.7890355631547 9.7 14.65 17.8821437921537 17.8619047619048 5.74285714285714 17.6166666666667 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537 17.8821437921537
3 20.3344893495811 15.616 22.5869550528497 6.79285714285714 18.5666666666667 18.2694619388819 18.2694619388819 5.68333333333334 18.2694619388819 18.2694619388819 18.2694619388819 18.2694619388819 18.2694619388819 18.2694619388819 18.2694619388819 18.2694619388819 18.2694619388819 7.8 18.2694619388819 18.2694619388819 18.2694619388819 18.2694619388819 18.2694619388819 18.2694619388819 18.2694619388819 18.2694619388819 18.2694619388819 18.2694619388819 18.2694619388819 18.2694619388819 18.2694619388819
4 17.0327180913154 10.9666666666667 15.6450166703212 12.35 10.7666666666667 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193 16.4064828627193
5 14.9241309564439 10.9315789473684 10.6 7.875 9.7 12.8638601088351 12.8638601088351 12.8638601088351 11.2 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351 12.8638601088351
6 15.7129722525269 10.2166666666667 8.75714285714286 6.47272727272727 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613 14.4922782390613
7 11.7134615384615 15.952380952381 12.4666666666667 8.06530612244898 3.95 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066 11.583355350066
8 13.2282830318707 10.8833333333333 19.2333333333333 6.33333333333333 24.0712953195561 5.45 6.08 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341 12.6017311430341
9 11.8836879432624 12.04 10.9994680851064 7.90714285714286 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064 10.9994680851064
10 11.6471471471471 11.1857142857143 12.9 8.20370370370371 11.388679245283 11.388679245283 11.388679245283 11.388679245283 10.55 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283 11.388679245283
11 12.9197107675979 12.8085432806265 10.85 8.83059360730594 12.2781784452821 6.78888888888889 12.2781784452821 12.2781784452821 18.9333333333333 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821 12.2781784452821
12 11.4626947199461 13.841757404028 20.2 9.16993209325826 16.1 8.36923076923077 11.4221850457411 11.4221850457411 20.9104220831131 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411 11.4221850457411
