"maakunta" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X0" "A1" "A2" "A3" "A4" "A5" "A6" "A7" "A8" "A9" "A0" "B1" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "B0" "C1"
"1" 0 246247.430239233 10853.36092 6524.480064412 24089.16692 12795.2371725987 0 15474.2655524234 4500.17404 264.71612 0 0 0 0 0 0 0 0 5294.3224 0 0 0 0 0 0 0 264.71612 0 0 0 0 0
"2" 1 669682.643475127 55853.029 23106.13224 19935.35072 15983.155549896 1409.64448 16235.49324 6921.63956 5033.91968 0 0 0 0 0 0 0 0 10067.83936 0 0 0 0 0 0 0 629.23996 629.239960000001 0 0 0 0
"3" 2 459646.471905532 23284.2917295937 14463.353378058 10557.99382 2484.23384 0 13042.22766 4347.40922 3726.35076 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 3 87651.6537786222 15882.4145 3870.03856079895 8894.15212 3811.77948 0 0 3811.77948 0 0 0 0 0 0 0 0 0 635.296579999999 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 4 86416.4946648755 3896.61036 3276.40332477235 5195.48048 1948.30518 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" 5 90413.1829749308 11946.6566 3772.6284 30181.0272 628.771400000001 0 0 0 1257.5428 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" 6 77326.6408922438 3677.26644 4290.14418 6741.65514 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 7 473120.3672 14697.5262 6298.9398 34294.2278 1399.7644 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 8 145132.353176481 4165.35132 2082.67566 16661.40528 2776.90088 2776.90088 3471.1261 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 9 98570.63814 3495.4127 0 29361.46668 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 10 232240.10742 4881.92418 1394.83548 18830.27898 0 0 0 0 1394.83548 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 11 706511.41684602 71216.6875807205 1247.3289 136582.51455 0 5612.98004999999 0 0 1870.99335 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 12 1303039.04502747 188483.20135043 626.004825 230276.32896 626.004825 8138.062725 0 0 2750.48438235883 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 13 3538164.24342323 1340756.48093255 33731.1364344414 1136732.5431 7052.90129302753 36998.0289 0 0 33170.6466 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
