"maakunta" "1" "2" "3" "4" "5" "6" "7" "8" "9" "0" "A1" "A2" "A3" "A4" "A5" "A6" "A7" "A8" "A9" "A0" "B1" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "B0" "C1"
0 719342.555701435 340387.951134521 160202.50875583 125855.436480797 43712.9152068674 264.71612 94680.9931625625 15088.81884 8042.69204057311 0 0 0 0 0 0 0 0 8206.19972 0 0 0 0 0 264.71612 0 17219.5663113509 2897.67565304838 794.14836 3620.14033726153 16677.11556 0
1 6010110.32927132 5358338.81879592 923465.2123471 2095406.00385777 362404.049213701 133717.088481508 250929.637936644 78270.9152866699 58738.0493825445 0 0 0 0 629.23996 15008.5362237068 0 0 18323.54112 0 0 704.82224 0 0 629.23996 0 629.239959999998 5663.15964 30708.01232 5663.15964 12735.96376 0
2 8514208.05314249 6381896.63069504 843758.163491296 2091171.03951323 328780.305849268 89432.41824 162624.762206738 69558.54752 71121.6549619958 0 4347.40922 0 0 1002.90284865302 6210.5846 0 0 13042.22766 0 0 0 0 0 0 0 621.05846 20472.4334500289 4347.40922 1242.11692 0 0
3 4731659.81957742 8409623.25996727 1152666.51928412 1678525.96245192 477447.56696383 382771.986136538 95247.8188605265 205200.79534 128518.496924483 0 17153.00766 0 0 9037.98715424404 1905.88974 0 0 23505.97346 0 0 635.29658 0 0 3811.77948 0 0 0 39388.38796 4447.07606 6352.9658 0
4 6465085.36238294 5088064.37603155 899380.995359976 1261650.5269815 269110.019446093 193531.64788 75381.9075003927 103260.17454 62345.76576 0 9741.52589999999 0 2597.74024 11170.0948102489 1298.87012 0 0 20781.92192 0 0 4546.04542 0 0 1298.87012 0 0 0 21431.35698 649.435060000002 649.43506 0
5 5948824.46396415 7026803.87009606 1091776.49653954 1802152.33538242 290643.927741599 201838.751616235 33466.6014910145 93058.1672 42157.2474125658 0 18863.142 0 0 10099.5762312865 628.7714 0 0 1886.3142 0 0 0 0 0 7545.2568 0 0 0 8174.0282 1886.3142 1257.5428 0
6 8840822.81477571 7622680.55183965 1652610.915478 2311259.34718103 312483.814540888 536880.90024 113898.542110072 202135.917088888 58261.6274049214 0 0 0 0 5550.04478054464 6128.7774 0 0 14709.06576 0 0 1225.75548 0 0 0 0 0 0 15321.9435 0 0 0
7 12414861.7984331 3781690.74327872 323909.839412303 3342384.51181139 283828.797417342 95883.8614 2099.6466 42692.8142 44092.5786 0 0 0 0 5599.0576 1399.7644 0 0 4199.2932 0 0 0 0 0 0 0 0 0 699.882200000001 0 1399.7644 0
8 10522861.3045281 7519313.62821615 1390563.94139554 2775885.170641 365814.743678383 476238.50092 29286.1250859811 118712.51262 86318.7915981641 0 4165.35132 0 0 1388.45044 0 1388.45044 0 6248.02698 0 0 0 0 0 0 0 0 0 694.22522 2082.67566 694.225219999999 0
9 8189663.96468952 8681041.86241329 1368689.39824195 3632260.09629602 344445.451613651 619387.13044 16777.98096 256760.644126886 128702.206829063 0 27267.7015302288 0 2796.33016 11884.40318 699.08254 0 0 9088.07302 0 0 2097.24762 0 0 0 0 0 0 6990.8254 0 15379.81588 0
10 12438832.8300458 6205830.84488238 1563415.63297249 2903227.68548492 219678.670704776 398225.52954 25804.45638 168077.67534 85382.6656816454 0 55096.00146 0 0 2092.25322 0 0 0 2092.25322 0 0 0 0 0 0 0 0 0 6276.75966 0 3487.0887 0
11 14261710.7131557 5499663.81751848 460048.281265421 4416209.66476372 205816.396936749 154668.7836 623.664450000001 46774.83375 108229.207673942 0 20580.92685 0 0 11849.62455 0 0 0 0 0 0 0 0 0 0 0 0 0 1247.3289 0 623.664450000001 0
12 19852443.8981149 6356320.76424996 327485.755129117 6950065.14005953 391622.808278628 258211.181115 1878.014475 42722.19444 111110.020770182 0 11268.08685 0 0 6886.053075 0 0 0 0 0 0 1878.014475 0 0 0 0 0 0 3756.02895 0 2504.0193 0
13 26934168.1021594 10591201.6806909 489092.842821629 9272038.38682994 270294.096370151 104615.1162 0 10206.3528 225768.420669623 0 6378.9705 0 0 2551.5882 0 0 0 0 0 0 0 0 0 0 0 0 0 5103.1764 0 0 0
