"maakunta" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X0" "A1" "A2" "A3" "A4" "A5" "A6" "A7" "A8" "A9" "A0" "B1" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "B0" "C1"
0 190604.885986021 4612.47742067901 3409.36398024691 6059.43143055556 1625.8387038183 0 7726.67371296297 1342.63 0 0 0 0 0 0 0 0 0 702.729999999999 0 0 0 0 0 0 0 0 0 0 0 0 0
1 540025.529472729 22143.06 9896.64 22264.08 5566.86 0 4948.32 7051.02 618.540000000001 0 0 0 0 0 0 0 0 618.54 0 0 0 0 0 0 0 1237.08 0 0 1237.08 0 0
2 413621.643457139 10058.88 7544.16 11944.92 4400.76000000001 0 1886.04 628.68 0 0 0 0 0 0 0 0 0 1257.36 0 0 0 0 0 0 0 0 0 0 0 0 0
3 46219.440279272 3792.24 0 9480.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 73238.095471195 4998.08 4373.32 4373.32 3123.8 0 0 624.76 0 0 0 0 0 0 0 0 0 624.759999999999 0 0 0 0 0 0 0 0 0 0 0 0 0
5 91479.24 3221.1 0 14172.84 0 644.220000000001 644.22 0 644.220000000002 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 644.219999999999 0
6 94355.8926473744 5580.18 620.020000000001 5580.18 0 620.02 0 1240.04 0 0 0 0 0 0 0 0 0 620.019999999999 0 0 0 0 0 0 0 0 0 0 0 0 0
7 360036.978586402 3333 1333.2 34663.2 666.599999999999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 153861.584826029 4697.56 6710.8 14092.68 1630.62391164552 0 3355.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 107204.16 0 0 10113.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10 218239.92 673.58 2020.74 17513.08 0 0 0 673.58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 772359.478841067 59057.1850540314 626.205 115847.925 0 4383.435 0 0 626.205 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
12 1442001.19436219 98225.3234945404 7698.43119465815 205284.915 1260.6 1890.9 1890.9 0 2139.07834809116 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
13 4850353.10763217 1323222.98627657 13875.51 3156257.46762864 8927.420955 24069.917685 0 0 18925.77156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
