"speOsNum" "tyyppi" "maakunta" "spe1Rat" "spe2Rat" "spe3Rat" "spe4Rat" "spe5Rat" "spe6Rat" "spe7Rat" "spe8Rat" "spe9Rat" "spe10Rat" "spe11Rat" "spe12Rat" "spe13Rat" "spe14Rat" "spe15Rat" "spe16Rat" "spe17Rat" "spe18Rat" "spe19Rat" "spe20Rat" "spe21Rat" "spe22Rat" "spe23Rat" "spe24Rat" "spe25Rat" "spe26Rat" "spe27Rat" "spe28Rat" "spe29Rat" "spe30Rat" "spe31Rat"
1 "MetsaHarvaTaimikko" 0 1.06433602045561 0 0 0.0682096909535019 0 0 0.0568414091279183 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "MetsaHarvaTaimikko" 0 0 1.31754489337823 0.146464646464647 0.0227272727272727 0 0 0.0757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "MetsaHarvaTaimikko" 0 0 0.191095604461144 0.999999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "MetsaHarvaTaimikko" 0 0 0 0 0.589482213949337 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "MetsaHarvaTaimikko" 0 0 1 0 0.5 0.500000000000001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 "MetsaHarvaTaimikko" 0 0 0 0 0 0 0 2.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26 "MetsaHarvaTaimikko" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 "MetsaKeskim" 0 0.878942541138898 0.0235372232519318 0.0179144621392317 0.00282859928514185 0.00145056373597018 0 0.00942030690137314 0.00174067648316421 0.00174067648316421 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000870338241582106 0 0 0 0 0
2 "MetsaKeskim" 0 0.0324841417164408 1.22801549593879 0.00238663484486873 0.0172782786764489 0 0 0.02105565447252 0.0092055915444937 0.00954653937947494 0 0 0 0 0 0 0 0 0.00477326968973747 0 0 0 0 0 0 0 0.00327948672618522 0 0 0 0 0
3 "MetsaKeskim" 0 0 0 0.878104273770341 0.0498351139549971 0.0044637977950733 0 0.00803483603113197 0.00535655735408797 0.0133913933852199 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "MetsaKeskim" 0 0.00412395569879924 0.00695917524172372 0.0236894743752238 1.10773729676081 0.00763022443576005 0 0.0159066862667971 0.00695917524172372 0.010958605220133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "MetsaKeskim" 0 0 0 0.0365884129363404 0.0143892007178117 0.721145766176005 0 0.085300339985896 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.021325084996474 0 0
