"speOsNum" "tyyppi" "maakunta" "spe1Rat" "spe2Rat" "spe3Rat" "spe4Rat" "spe5Rat" "spe6Rat" "spe7Rat" "spe8Rat" "spe9Rat" "spe10Rat" "spe11Rat" "spe12Rat" "spe13Rat" "spe14Rat" "spe15Rat" "spe16Rat" "spe17Rat" "spe18Rat" "spe19Rat" "spe20Rat" "spe21Rat" "spe22Rat" "spe23Rat" "spe24Rat" "spe25Rat" "spe26Rat" "spe27Rat" "spe28Rat" "spe29Rat" "spe30Rat" "spe31Rat"
"1" 1 "MetsaHarvaTaimikko" 0 0.106433602045561 0 0 0.00682096909535019 0 0 0.00568414091279183 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 2 "MetsaHarvaTaimikko" 0 0 0.131754489337823 0.0146464646464647 0.00227272727272727 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" 3 "MetsaHarvaTaimikko" 0 0 0.0191095604461144 0.0999999999999999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 4 "MetsaHarvaTaimikko" 0 0 0 0 0.0589482213949337 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 5 "MetsaHarvaTaimikko" 0 0 0.1 0 0.05 0.0500000000000001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"6" 7 "MetsaHarvaTaimikko" 0 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" 26 "MetsaHarvaTaimikko" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 1 "MetsaKeskim" 0 0.0878942541138897 0.00235372232519318 0.00179144621392317 0.000282859928514185 0.000145056373597018 0 0.000942030690137314 0.000174067648316421 0.000174067648316421 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.70338241582106e-05 0 0 0 0 0
"9" 2 "MetsaKeskim" 0 0.00324841417164408 0.122801549593879 0.000238663484486873 0.00172782786764489 0 0 0.002105565447252 0.00092055915444937 0.000954653937947494 0 0 0 0 0 0 0 0 0.000477326968973747 0 0 0 0 0 0 0 0.000327948672618522 0 0 0 0 0
"10" 3 "MetsaKeskim" 0 0 0 0.0878104273770341 0.00498351139549971 0.00044637977950733 0 0.000803483603113197 0.000535655735408797 0.00133913933852199 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"11" 4 "MetsaKeskim" 0 0.000412395569879924 0.000695917524172372 0.00236894743752238 0.110773729676081 0.000763022443576005 0 0.00159066862667971 0.000695917524172372 0.0010958605220133 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"12" 5 "MetsaKeskim" 0 0 0 0.00365884129363404 0.00143892007178117 0.0721145766176005 0 0.00853003399858961 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0021325084996474 0 0
"13" 7 "MetsaKeskim" 0 0 0 0.000680750380993728 0 0.00153168835723588 0 0.0916592059628099 0.0217515243453508 0.00559672937651937 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000408450228596235 0 0.000605331457421536 0 0 0
