"maakunta" "maalk" "puulaji" "dfactor" "hfactor"
"1" 1 1 1 1.08619697391987 0.986548438668251
"2" 1 1 2 0.980144664645195 0.90134434401989
"3" 1 1 3 1.1449284106493 1.00907824933529
"4" 1 1 4 0.857835933566093 0.862440764904022
"5" 1 1 5 1.14067301154137 1.0045401006937
"32" 2 1 1 1.05898670852184 0.980041101574898
"33" 2 1 2 0.978139713406563 0.908721908926964
"34" 2 1 3 1.04709781706333 0.994028821587563
"35" 2 1 4 0.837955549359322 0.842436328530312
"36" 2 1 5 1.07247821986675 1.03658281266689
"63" 4 1 1 1.03553228080273 0.982528105378151
"64" 4 1 2 0.967916026711464 0.90374268591404
"65" 4 1 3 1.11113257706165 1.01996764540672
"66" 4 1 4 0.860661193728447 0.862958952784538
"67" 4 1 5 1.17167189717293 1.06293626129627
"94" 5 1 1 1.08171470463276 0.993391051888466
"95" 5 1 2 0.977058634161949 0.905830338597298
"96" 5 1 3 1.12387381494045 1.04431949555874
"97" 5 1 4 0.836733654141426 0.857888832688332
"98" 5 1 5 1.11822180449963 0.976367965340614
"125" 6 1 1 1.05864100158215 0.988285169005394
"126" 6 1 2 0.973022654652596 0.908145979046822
"127" 6 1 3 1.08973003923893 1.02609910070896
"128" 6 1 4 0.834613218903542 0.855778828263283
"129" 6 1 5 1.2017398327589 1.03117071092129
"156" 7 1 1 1.05908505618572 0.981825515627861
"157" 7 1 2 0.987722650170326 0.921989902853966
"158" 7 1 3 1.07995487749577 0.999229326844215
"159" 7 1 4 0.810841396450996 0.837454870343208
"160" 7 1 5 1.01705186069012 0.973063632845879
"187" 8 1 1 1.06598876416683 0.975806936621666
"188" 8 1 2 0.993783697485924 0.901774242520332
"189" 8 1 3 1.09700478613377 0.979828760027885
"190" 8 1 4 0.855052396655083 0.862526819109917
"191" 8 1 5 1.06317467987537 0.91178335249424
"218" 9 1 1 1.05581872165203 0.991895720362663
"219" 9 1 2 1.00065499544144 0.941993966698647
"220" 9 1 3 1.06429375708103 0.994187518954277
"221" 9 1 4 0.851411297917366 0.859194174408913
"222" 9 1 5 1.15085907280445 1.01880125701427
"249" 10 1 1 1.05810903012753 0.990167930722237
"250" 10 1 2 0.995357260107994 0.933904871344566
"251" 10 1 3 1.08520679175854 1.00971601903439
"252" 10 1 4 0.879322662949562 0.881949737668037
"253" 10 1 5 1.25097922980785 1.03518322110176
"280" 11 1 1 1.05824761092663 0.976676791906357
"281" 11 1 2 0.992055907845497 0.916501805186272
"282" 11 1 3 1.05160467326641 0.992675796151161
"283" 11 1 4 0.88497206568718 0.880312845110893
"284" 11 1 5 1.40175439417362 1.13411612808704
"311" 12 1 1 1.01209424436092 0.971832796931267
"312" 12 1 2 0.987381413578987 0.92876099050045
"313" 12 1 3 1.04553319513798 0.988347008824348
"314" 12 1 4 0.870871469378471 0.884295925498009
"315" 12 1 5 1.10689915716648 0.98749615252018
"342" 13 1 1 1.04239799082279 0.985682681202888
"343" 13 1 2 0.973612740635872 0.91374509036541
"344" 13 1 3 1.07894755899906 1.03264443576336
"345" 13 1 4 0.847256854176521 0.873002335429192
"346" 13 1 5 1.17780633270741 1.01401723921299
"373" 14 1 1 1.01246751844883 0.966150239109993
"374" 14 1 2 0.957355201244354 0.89712955057621
"375" 14 1 3 1.08580283820629 1.02847509086132
"376" 14 1 4 0.801759883761406 0.846519246697426
"377" 14 1 5 1.08941152691841 1.02504782378674
"404" 15 1 1 1.04653902351856 0.97964733839035
"405" 15 1 2 0.975580811500549 0.890286192297935
"406" 15 1 3 1.08485735952854 1.0002277046442
"407" 15 1 4 0.829841867089272 0.848959311842918
"408" 15 1 5 1.01030834019184 0.976301655173302
"435" 16 1 1 1.03435210883617 0.966945216059685
"436" 16 1 2 1.06115631759167 0.942998304963112
"437" 16 1 3 1.35663591325283 1.17500901222229
"438" 16 1 4 0.840779319405556 0.848741754889488
"439" 16 1 5 0.988586917519569 0.913715288043022
"466" 17 1 1 1.02359794080257 0.960431918501854
"467" 17 1 2 0.971348881721497 0.885976776480675
"468" 17 1 3 1.18684053421021 1.13002203404903
"469" 17 1 4 0.870000496506691 0.881866291165352
"470" 17 1 5 1.08944021165371 1.06149755418301
"497" 18 1 1 1.04212157428265 0.965636894106865
"498" 18 1 2 0.960566774010658 0.882665738463402
"499" 18 1 3 1.06356509029865 1.0404884070158
"500" 18 1 4 0.858225226402283 0.872114226222038
"501" 18 1 5 1.14748395979404 1.03539519011974
"528" 19 1 1 1.03436700999737 0.950790122151375
"529" 19 1 2 0.933184400200844 0.860281959176064
"530" 19 1 3 1.12860046327114 1.06773816049099
"531" 19 1 4 0.841562375426292 0.881262049078941
"532" 19 1 5 1.33203782141209 1.08970545232296
"559" 21 1 1 1.07650078833103 0.965763926506042
"560" 21 1 2 0.965968444943428 0.880322530865669
"561" 21 1 3 1.0889782756567 1.0021149367094
"562" 21 1 4 1.00684531033039 0.898935198783875
"563" 21 1 5 1.19902707636356 1.05279304087162
