"speOsNum" "tyyppi" "maakunta" "spe1Rat" "spe2Rat" "spe3Rat" "spe4Rat" "spe5Rat" "spe6Rat" "spe7Rat" "spe8Rat" "spe9Rat" "spe10Rat" "spe11Rat" "spe12Rat" "spe13Rat" "spe14Rat" "spe15Rat" "spe16Rat" "spe17Rat" "spe18Rat" "spe19Rat" "spe20Rat" "spe21Rat" "spe22Rat" "spe23Rat" "spe24Rat" "spe25Rat" "spe26Rat" "spe27Rat" "spe28Rat" "spe29Rat" "spe30Rat" "spe31Rat"
1 "MetsaHarvaTaimikko" 1 1.07141000418752 0.0162751332758681 0.00582446722381733 0.0163367345829451 0.00589552357072527 0 0 0 0 0 0 0 0 0 0 0 0 0.0199614504245466 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "MetsaHarvaTaimikko" 1 0.00861530153710351 1.06139223724205 0.0341010526718482 0.0274781146963714 0.0161856532282574 0.0948654048935229 0.00179324020173554 0.00739158114017843 0.00383332766580874 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "MetsaHarvaTaimikko" 1 0 0.0043287585644388 0.613707048359307 0.0244185183979756 0.0157959962539638 0.0122065135596012 0 0 0.0311634782511499 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0181934224320984 0 0 0 0
4 "MetsaHarvaTaimikko" 1 0 0 0.0956360668558569 1.14922340581027 0 0 0 0.145161290322581 0.00766911916224114 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0107291610891255
5 "MetsaHarvaTaimikko" 1 0 0 0 0 0.266782669382828 0 0 0 0.0996456258488004 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 "MetsaHarvaTaimikko" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 "MetsaHarvaTaimikko" 1 0 0 0 0 0 0.552427569035763 3.0882687546457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 "MetsaHarvaTaimikko" 1 0 0.138223340656743 0.174624694012709 0.0786071512070896 0 0.0792798353909466 0 0.849764648559391 0.106237582365072 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0909382178126519 0 0
9 "MetsaHarvaTaimikko" 1 0 0 0 0 0 0 0 0 1.33776280675575 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
16 "MetsaHarvaTaimikko" 1 0 0.376839281689013 0 0 0 0 0 0.151028829871066 0 0 0 0 0 0 0 0.68170615160203 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
28 "MetsaHarvaTaimikko" 1 0 0.570864197530865 0 0 0 0 0 1.5 0.220766686786379 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.89296313062723 0 0 0
30 "MetsaHarvaTaimikko" 1 0 0 0 0 0 0.212514461043207 3.00250603591369 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1 "MetsaKeskim" 1 0.73593086198894 0.0293137257029147 0.0187760813404465 0.0065365596984678 0.00125072330329148 0 0.00154905995319939 0.000267207318792519 0.00068961629896058 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000142688137482655 0 0 0 0
2 "MetsaKeskim" 1 0.0152377613970607 1.12822628206445 0.0116260509890007 0.0124883984219851 0.00397381171640022 0.00451117850634757 0.0026597502722812 0.0121758644226649 0.00362795995976901 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00015688867630325
3 "MetsaKeskim" 1 0.00486519654478874 0.0139983380983452 0.770046009221596 0.0667419040058741 0.0149138689707493 0.0072417895217771 0 0.0135233741966943 0.00557981420335935 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000973209320754935 0 0 0 0
4 "MetsaKeskim" 1 0 0.0183898869937689 0.0268092527100142 1.00553458987318 0.00913663569612444 0.00721344046900326 0.000576076523350876 0.0187428379150854 0.0161043224313051 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122694146196081 0 0 0.00156489928748979 0
5 "MetsaKeskim" 1 0.0219423404623363 0.0134541245950572 0.00695928119874227 0.00624020659202744 1.0932220454472 0.0269974816451927 0 0.0236488313970837 0.0406834753986991 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 "MetsaKeskim" 1 0 0.0243613645303801 0 0.0426023355355295 0.00474858352458566 1.00534042820646 0 0.0331214054147094 0.0603491993918144 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00236111111111111 0.0121656993301319 0 0 0
7 "MetsaKeskim" 1 0 0 0 0.00580964965227313 0 0 0.887848278396812 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
