"maakunta" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X0" "A1" "A2" "A3" "A4" "A5" "A6" "A7" "A8" "A9" "A0" "B1" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "B0" "C1"
"DGMvek" 0 21.6612093546134 13.9136363636364 12.65 8.59411764705882 17.2941176470588 20.5969350331227 15.8830982650241 11.2083333333333 9.7 20.5969350331227 20.5969350331227 20.5969350331227 20.5969350331227 20.5969350331227 20.5969350331227 20.5969350331227 20.5969350331227 20.5969350331227 20.5969350331227 20.5969350331227 20.5969350331227 20.5969350331227 20.5969350331227 20.5969350331227 20.5969350331227 20.5969350331227 27.7 20.5969350331227 20.5969350331227 20.5969350331227 20.5969350331227
"DGMvek.1" 1 19.9916851239825 14.1887492729536 16.7802648396102 7.42908228958341 12.1897624887271 14.15 15.3745931230843 7.72 13.0948380072299 18.7352787331457 18.7352787331457 18.7352787331457 18.7352787331457 18.7352787331457 18.7352787331457 18.7352787331457 18.7352787331457 5.53333333333333 18.7352787331457 18.7352787331457 18.7352787331457 18.7352787331457 18.7352787331457 18.7352787331457 18.7352787331457 18.7352787331457 18.7352787331457 18.7352787331457 18.7352787331457 18.7352787331457 18.7352787331457
"DGMvek.2" 2 16.3900329886033 19.1217107840686 21.1805805640563 12.0470588235294 8.43333333333334 16.3476632490282 13.9020408163265 16.3476632490282 16.3476632490282 16.3476632490282 16.3476632490282 16.3476632490282 16.3476632490282 16.3476632490282 16.3476632490282 16.3476632490282 16.3476632490282 16.3476632490282 16.3476632490282 16.3476632490282 16.3476632490282 16.3476632490282 16.3476632490282 16.3476632490282 16.3476632490282 16.3476632490282 18.2 16.3476632490282 16.3476632490282 16.3476632490282 16.3476632490282
"DGMvek.3" 3 16.0247058823529 13.8636363636364 14.6348623853211 7.07272727272727 1.4 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211 14.6348623853211
"DGMvek.4" 4 17.0179880048428 15.2 22.625 7.29285714285714 16.2160067984036 16.2160067984036 12.6 16.2160067984036 23 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036 16.2160067984036
"DGMvek.5" 5 11.4507936507937 16.0181818181818 12.45 8.7047619047619 11.383950617284 10.5 11.383950617284 7 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284 11.383950617284
"DGMvek.6" 6 14.7149195212592 14.9529721024296 10.81 8.86153846153846 19.3 4.1 10.5357142857143 13.5008027569632 4.525 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632 13.5008027569632
"DGMvek.7" 7 10.4663893510815 12.7111111111111 12.9333333333333 7.50327868852459 12.9 2.25 8.2 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413 10.2165191740413
"DGMvek.8" 8 12.367375566747 10.0642857142857 13.4666666666667 7.67389230609711 33.1123842477624 3.6 3.5 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174 11.9621179539174
"DGMvek.9" 9 11.5398328526914 8.82499999999999 15.65 8.06428571428571 5.3 11.1620420947458 11.1620420947458 2.5 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458 11.1620420947458
