"maakunta" "maalk" "puulaji" "dfactor" "hfactor"
0 1 1 1.09486050903797 1
0 1 2 0.875734463334084 1
0 1 3 0.965675637125969 1
0 1 4 0.677314326167107 1
0 1 5 0.941254124045372 1
1 1 1 1.03239186108112 1
1 1 2 0.894857868552208 1
1 1 3 1.03566117584705 1
1 1 4 0.652534440159798 1
1 1 5 0.857847109436989 1
2 1 1 1.01310528814793 1
2 1 2 0.893016830086708 1
2 1 3 1.01281471550465 1
2 1 4 0.610868558287621 1
2 1 5 0.744069665670395 1
3 1 1 1.03532142937183 1
3 1 2 0.932416245341301 1
3 1 3 1.03339098393917 1
3 1 4 0.65056748688221 1
3 1 5 0.924439653754234 1
4 1 1 1.01255543529987 1
4 1 2 0.925888791680336 1
4 1 3 0.962431654334068 1
4 1 4 0.565494522452354 1
4 1 5 0.919347181916237 1
5 1 1 1.0020300000906 1
5 1 2 0.892548933625221 1
5 1 3 0.995369181036949 1
5 1 4 0.589766278862953 1
5 1 5 0.965980365872383 1
6 1 1 1.01234681904316 1
6 1 2 0.917259529232979 1
6 1 3 0.917113497853279 1
6 1 4 0.633165165781975 1
6 1 5 0.876022800803185 1
7 1 1 0.974770560860634 1
7 1 2 0.895020291209221 1
7 1 3 1.04912661015987 1
7 1 4 0.645928755402565 1
7 1 5 0.883674547076225 1
8 1 1 0.999464765191078 1
8 1 2 0.921481028199196 1
8 1 3 0.970289409160614 1
8 1 4 0.616098120808601 1
8 1 5 0.706025138497353 1
9 1 1 1.02442868053913 1
9 1 2 0.928088575601578 1
9 1 3 0.988808944821358 1
9 1 4 0.675596222281456 1
9 1 5 0.796238258481026 1
10 1 1 0.987707749009132 1
10 1 2 0.901418849825859 1
10 1 3 0.928752049803734 1
10 1 4 0.594989135861397 1
10 1 5 0.686617866158485 1
11 1 1 0.991356298327446 1
11 1 2 0.803328230977058 1
11 1 3 0.842362567782402 1
11 1 4 0.585177838802338 1
11 1 5 0.900919660925865 1
12 1 1 0.965546369552612 1
12 1 2 0.856542140245438 1
12 1 3 1.07898630201817 1
12 1 4 0.632976293563843 1
12 1 5 0.894919708371162 1
13 1 1 0.994949713349342 1
13 1 2 0.879651978611946 1
13 1 3 0.968202874064445 1
13 1 4 0.569513365626335 1
13 1 5 0.98199836909771 1
