"maakunta" "1" "2" "3" "4" "5" "6" "7" "8" "9" "0" "A1" "A2" "A3" "A4" "A5" "A6" "A7" "A8" "A9" "A0" "B1" "B2" "B3" "B4" "B5" "B6" "B7" "B8" "B9" "B0" "C1"
0 192559.47555387 5922.92756 2692.2398 4576.80766 4576.80766 0 9838.48227864631 3230.68776 269.22398 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 807.67194 0 0 0 0
1 468286.228744864 39885.1951757845 8405.98428 24218.85684 4485.07638 2256.67392 3380.9721 2800.6485 2244.55758 0 0 0 0 0 0 0 0 1680.3891 0 0 0 0 0 0 0 0 0 0 0 0 0
2 333064.084676624 19843.77469497 10189.5952580724 9369.3749 1653.4191 0 27005.8453 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 551.139700000002 0 0 0 0
3 47719.2941 6175.43806 0 6175.43806 1122.80692 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 74363.4742968281 1094.27552 2188.55104 7659.92864 0 0 2188.55104 0 547.13776 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 69413.38488 6059.89868 1101.79976 11568.89748 0 550.899880000001 0 550.89988 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 109537.466997269 9654.49457212759 5559.1702 14453.84252 555.917019999999 555.91702 7782.83828 0 4447.33616 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 346682.643 5191.587 1730.529 35187.423 576.843 1153.686 576.843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 135545.98266 8207.90992 1758.83784 13244.5511 1632.27084553285 1172.55856 1172.55856 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 88810.316237045 2303.39032 1151.69516 8061.86612 575.847579999998 0 0 575.847579999999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
10 182345.626359759 3426.76992 0 19418.36288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 521713.412090319 42992.634043842 1579.882365 63721.922055 1053.25491 3159.76473 526.627454999999 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
12 1180522.39302946 201557.380458175 2630.226375 208153.2339 526.045275 10049.7387 0 0 5951.13345000001 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
13 4029580.22471916 1443092.90645448 24533.919795 3300623.92277314 23604.1346578051 9132.84229499999 0 0 36845.25651 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
