"speOsNum" "tyyppi" "maakunta" "spe1Rat" "spe2Rat" "spe3Rat" "spe4Rat" "spe5Rat" "spe6Rat" "spe7Rat" "spe8Rat" "spe9Rat" "spe10Rat" "spe11Rat" "spe12Rat" "spe13Rat" "spe14Rat" "spe15Rat" "spe16Rat" "spe17Rat" "spe18Rat" "spe19Rat" "spe20Rat" "spe21Rat" "spe22Rat" "spe23Rat" "spe24Rat" "spe25Rat" "spe26Rat" "spe27Rat" "spe28Rat" "spe29Rat" "spe30Rat" "spe31Rat"
1 "MetsaKeskim" 0 0.0723613433872214 0.00100123228589033 0.00105624504885133 0.00323475046210721 0 0 0.00277264325323475 0.000693160813308688 0.000308071472581639 0 0 0 0 0 0 0 0 0.000958444581365098 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "MetsaKeskim" 0 0.00266792215944758 0.113940453770962 0 0 0 0 0 0.00112994350282486 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "MetsaKeskim" 0 0.00248663434042024 0.00298396120850429 0.117916259255738 0.00401315153273378 0 0 0.00456919060052219 0.00348128807658834 0.00174064403829417 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "MetsaKeskim" 0 0 0 0.00897845171588189 0.107006616208541 0.00361038270056626 0 0.0034203625584312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "MetsaKeskim" 0 0 0 0 0.00941176470588237 0.0726797385620915 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
7 "MetsaKeskim" 0 0 0 0 0 0 0 0.0712068812627472 0.0276979693180811 0 0 0 0 0 0 0 0 0 0.0074487895716946 0 0 0 0 0 0 0 0 0 0 0 0 0
8 "MetsaKeskim" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 "MetsaKeskim" 0 0 0 0 0 0 0 0 0 0.275167785234899 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26 "MetsaKeskim" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.141657441294945 0 0 0.0099502487562189 0.0110558319513543 0
1 "MetsaVart" 0 0.0935191757641426 0.00334244968053788 0.00100960594992212 0.00105749839671105 0.000444380598020511 0 0.000949345552955323 0.000204825251719454 0.000290464569860931 0 0 0 0 0 0 0 0 7.18685093752468e-05 0 0 0 0 0 0 0 0 5.39013820314352e-05 0 0 0 0
2 "MetsaVart" 0 0.00128882571384843 0.121122219136151 0.000297921976518429 0.000549224220788136 0 0 0.0015256228355226 0.00164767266236441 0.000289868338749294 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000400123496053256 0 0 0.000279999968731966 0 0
3 "MetsaVart" 0 0 0 0.0800641797256686 0.0174280728254485 0 0 0 0 0.00193691200885445 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "MetsaVart" 0 0.000795228628230616 0.000795228628230618 0.00817564760723247 0.103410030865829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "MetsaVart" 0 0 0 0.0144801691814883 0 0.0733757206437549 0 0 0.00154858691444057 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00154858691444057 0 0 0 0.00199104031856645 0
7 "MetsaVart" 0 0.000426712182632814 0.000705604564571609 0.00384040964369533 0.00128013654789844 0 0 0.105502030646524 0.00321558109055442 0.00163901517574226 0 0 0 0 0 0 0 0 0.000853424365265627 0 0 0 0 0 0 0 0.000609588832332593 0 0 0 0 0
8 "MetsaVart" 0 0 0 0 0 0 0 0 0.010989010989011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 "MetsaVart" 0 0 0 0 0 0 0 0 0 0.193650793650794 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
11 "MetsaVart" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26 "MetsaVart" 0 0 0 0 0 0 0 0.00956937799043063 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0572844171200472 0 0 0 0 0
28 "MetsaVart" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.136176974393505 0 0 0
1 "MetsaKeskim" 1 0.0804122583473236 0.0042157007876493 0.000586083703748969 0.00235969961627403 0.00053454770977292 7.47443763343651e-05 3.33941826948304e-05 7.51369110633683e-05 3.36349693504643e-05 0 0 0 0 0 0 0 0 3.33941826948304e-05 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "MetsaKeskim" 1 0.00189916265489118 0.112631503535307 0.000505904701024192 0.00246466147878567 0.000819673258177617 0.000603354901381302 0.000182647542490109 0.000183306026803348 0.000456618856225274 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.13237712450545e-05 0 0 0
3 "MetsaKeskim" 1 0.00161242194094747 0.000608746249876656 0.0830638932712974 0.0129610400774628 0.000610933029347451 0 0.00264300290156403 0.00242842466109423 0.00060655947040586 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "MetsaKeskim" 1 0.000374851190367302 0.000580418359881171 0.00367530273807328 0.103412634709697 0.00123165391120685 0.00166896035563979 0.00124234798975421 0 0.000263784170999213 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "MetsaKeskim" 1 0 0 0 0.0013151754660179 0.0704351986840254 0.0013151754660179 0.00932685973558778 0.00261152072596458 0.0118365791941611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
6 "MetsaKeskim" 1 0 0 0 0 0 0.0781435716777475 0.00259230744155405 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0155167289301023 0 0 0
7 "MetsaKeskim" 1 0 0 0 0 0 0 0.0975737827761689 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 "MetsaKeskim" 1 0 0 0 0 0 0 0 0.0756044547515879 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 "MetsaKeskim" 1 0 0 0 0 0 0 0 0 0.0938967136150236 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14 "MetsaKeskim" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0423280423280423 0 0
1 "MetsaVart" 1 0.0886857634195447 0.00269629439327095 0.00127360659564075 0.00108850292951133 0.000940215331744992 0.000161775565747324 0.00028708867720705 0.000167338578439567 0.000239905662986956 0 0 0 0 0 0 0 0 3.99398040823126e-05 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "MetsaVart" 1 0.00171796535719332 0.100073358883984 0.000929700840604098 0.00127377603533256 0.0011191770155896 0.000400690386006842 0.000347602136337748 0.000153392032181496 0.000250434485738616 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.19009342907592e-05 3.96697809691975e-05 0 0
3 "MetsaVart" 1 0.000861791881650319 0.00106902175659062 0.0793914159271669 0.0148278849047878 0.000814877302124126 8.99926037757292e-05 0.000272475695352604 0.00101322789999428 0.000179985207551458 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4 "MetsaVart" 1 0.000499498239470543 0.00121717784547227 0.00556949318480975 0.115850422924994 0.000732837788220555 0.000325320672837114 0.000522005041418828 8.13301682092786e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 "MetsaVart" 1 0 0.00290137398650479 0.00846087944923359 0.00548827605930827 0.0855799374831166 0.00707969366074814 0.011197618595417 0.00302396031267805 0.00430982584960388 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000412358224456098 0.000412358224456098 0.00164943289782439 0 0
6 "MetsaVart" 1 0 0 0.00132242298841899 0.00528022496693973 0 0.161315357211576 0.00330605747104749 0.00263537899010174 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00131295600168275 0 0 0
7 "MetsaVart" 1 0.00127349701479068 0 0.00156764053312067 0.00570621154055923 0.000564350591923441 0.00225740236769376 0.134364470829131 0 0 0 0 0 0 0 0 0 0 0.000627056213248267 0 0 0 0 0 0 0 0 0.00233264816120063 0.00244551923166824 0.0014108764798086 0 0
8 "MetsaVart" 1 0 0 0 0 0.0769230769230769 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
9 "MetsaVart" 1 0 0 0 0 0 0 0 0 0.241403961389429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
14 "MetsaVart" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.26508204297942 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
26 "MetsaVart" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0823970037453184 0 0.0149812734082397 0 0 0
27 "MetsaVart" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0311526479750779 0 0 0 0
29 "MetsaVart" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.388888888888889 0 0
1 "MetsaKeskim" 2 0.0791573743757706 0.00335473989129048 0.000715780710164189 0.00251097587570412 0.000508161443096205 0.000295227397102451 0 0.000249537442788976 0.000138870029995926 0 0 0 0 0 0 0 0 4.32040093320659e-05 0 0 0 0 0 0 0 0 0 0 0 0 0
2 "MetsaKeskim" 2 0.000986767560324358 0.109635858734744 0.000186219739292365 0.00185234449666479 0.00156734947237741 0.000781088350920753 0 0.000450031036623216 0.000186219739292365 0 0 0 0 0 0 0 0 6.20732464307885e-05 0 0 0 0 0 0 0 0 0 0 0 0 0
3 "MetsaKeskim" 2 0 0.00194800329662096 0.0769604013029502 0.0326665168202592 0.00239754251891811 0.000561924027871432 0.000449539222297146 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
